,8_2.5d_total,8_6d_total,8_7d_total,8_16d_total,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,8C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,ES_sc
1110059G10Rik,1.88625,0.99804,2.337445,0.977105,49.900185,4.3572903,10.174556,15.486653,36.194042,44.06068,34.10429,44.380432,33.127773,37.70889,6.419581
1190005I06Rik,0.0,0.0,0.0,0.0,50.576096,15.956706,18.979832,6.48186,0.19700329,0.012276696,0.003047292,0.04120135,0.012175991,0.0,0.8007183000000001
1190007I07Rik,20.865065,12.95389,15.960935,18.976535,5.8158164,5.8364954,5.920197,1.1438451,2.8578393,7.7605553,9.2108755,37.48353,30.117926,40.24156,86.576645
1500011B03Rik,17.660075,9.722615,12.91864,14.779265,7.330088000000001,6.8404727,4.6311693,4.5714407,5.8494163,10.417315,9.230353,10.640533,12.831932,4.333465,23.242552
1700001L05Rik,1.48463,1.2455235,0.470129,1.240135,188.81909,218.2098,116.55548,48.63423,21.712683,2.6756778,6.794289,0.56768113,1.824085,0.8556004999999999,5.583720700000001
1700001O22Rik,2.6968045,0.8733005,0.440974,0.80377,0.0,0.0,0.0466489,4.7730217,11.204434,5.977245,1.8688446,0.0016143110999999,2.1678698,0.0025197447,2.1249456
1700010I14Rik,0.1558915,0.2666635,0.1868605,0.0427619499999999,9.44356,3.8242688,0.10410651,0.13192621,0.0,0.27136415,0.0,7.008041400000001,1.2322164,0.0,0.11149037
1700018B24Rik,11.4823,12.8402,12.81035,30.4093,150.26363999999998,112.31564,88.246605,30.594986,4.033816000000001,10.080092,6.4215565,3.706595,0.9546186,1.8291885,0.0
1700019A02Rik,3.1589600000000004,2.0252800000000004,2.984115,3.010805,0.0,0.0,0.0,0.2597497,0.0,0.0,0.0,2.9689357000000003,0.1470267999999999,0.8102818,1.6162021
1700029P11Rik,6.913205,7.63717,7.416544999999999,5.71182,2.0529056,1.8595723,0.86612487,6.1220813,14.132672,24.462736,37.45428,61.46114300000001,49.20853,27.700567,26.83564
1700034H15Rik,0.0,0.0,0.0,0.0,0.03344699,0.53046054,2.3872604,50.656338,70.45014,8.038653,5.5789585,2.9555173,0.09340577,0.045826275,0.0
1700066M21Rik,2.978715,3.70166,2.62306,2.98674,84.32158000000001,54.05287,34.966877000000004,12.259981,17.612932,3.610772,5.208311,8.033030499999999,7.136291,4.9616365,4.138948399999999
1700067K01Rik,0.7001915000000001,0.244545,0.4811275,0.04385565,0.6340461,0.012898661,0.31334496,0.031305045,0.80795985,0.0247800439999999,0.0,0.08723841,0.015902024,0.0088105565,1.1782780000000002
1700125H20Rik,0.866794,0.4441895,0.530428,0.704304,0.084842615,0.2333217,0.053098097,0.23356263,2.4123015,0.016257726,0.36745945,1.8771324,4.707325,2.5263975,0.0
1810013L24Rik,9.45098,9.043995,9.93751,10.75784,243.50394,278.62738,607.9059,541.3464,406.25266,199.37547,170.80923,118.884,69.726105,102.492386,7.095362
1810037I17Rik,72.40545,35.9854,49.9077,85.7507,126.750496,112.80486,69.921196,22.261118,8.261113,26.01462,57.661854000000005,75.489174,107.3154,110.235855,311.81332000000003
1810055G02Rik,21.36965,31.320635000000003,31.39186,40.13777,13.97802,1.9709456000000003,7.5125546,19.025274,88.486855,15.566024,20.33265,47.82849,59.66136,38.25739,46.61632
