,8_sc,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,D.EPSCs_sc,L.EPSCs_sc,TBLC_sc,ES_sc,2CLC_ref1
1700010I14Rik,0.10670633,9.44356,3.8242688,0.10410651,0.13192621,0.0,0.0,7.008041400000001,1.2322164,0.0,3.8087218,2.88335,0.63995826,0.11149037,0.166723
1700019A02Rik,3.4499352,0.0,0.0,0.0,0.2597497,0.0,0.0,2.9689357000000003,0.1470267999999999,0.8102818,16.820251000000003,13.495378,0.78358525,1.6162021,3.88777
1700066M21Rik,6.7989655,84.32158000000001,54.05287,34.966877000000004,12.259981,17.612932,5.208311,8.033030499999999,7.136291,4.9616365,9.332226,7.134078999999999,3.5027475,4.138948399999999,1.19556
1700067K01Rik,0.5629161,0.6340461,0.012898661,0.31334496,0.031305045,0.80795985,0.0,0.08723841,0.015902024,0.0088105565,6.7530813,1.2349924,0.4951774,1.1782780000000002,0.348578
2200002J24Rik,0.0876098,0.0,0.0,0.0,1.209327,2.4187875,4.6652174,7.859105,13.628488,6.4015117,0.05295003,0.19100246,1.4443073999999998,0.0,0.0
2810459M11Rik,2.1729338,0.0,0.0,0.3126233,1.615625,0.0,0.0,0.0,0.0,0.4291863,0.43235746,0.19930434,0.46873567,0.0,0.0835564
4921536K21Rik,0.37630296,9.581099,5.705174400000001,1.1378133999999998,2.686685,0.0,0.51678395,1.1572118,0.12805495,0.2206022999999999,0.43545815,0.23583406,0.14007214,0.20687664,0.365624
4930503L19Rik,13.740554,20.28215,42.60816,59.998276,16.279583,5.551060700000001,12.801369,2.3826897,0.57058936,3.4872763,21.192667,12.643201,10.704173,12.315977,6.84784
4930550C14Rik,0.7692671999999999,36.212543,26.883667,36.037243,14.207586,4.114291000000001,1.4360582,1.1354408,1.9888105,0.39341703,1.3544244,0.35817233,1.262956,0.0,0.168235
4931406P16Rik,27.61543,460.16714,607.9605,746.0251,481.3672,149.84831,78.53218000000001,46.28302,47.12044,39.91105,14.800642000000002,15.082012,38.818264,12.646022,8.71358
4931428L18Rik,28.06145,0.0,0.046943985,0.015203447,0.46242008,0.6434554,0.00430589,0.00874172,0.0,0.0,0.039876647,0.37302345,0.20603989,0.042424012,0.0
4933427D06Rik,8.474738,1490.2751,2623.0789,270.04294,109.4677,15.266756,29.595783,1.584091,0.0047831459999999,0.0406373779999999,6.148471,4.983038400000001,1.0628095,0.0,3.382244
4933431E20Rik,0.28181776,4.7836647,6.8475600000000005,2.941478,0.92490655,0.0,0.015927456,0.020734131,0.0073592034,1.1431139,0.8994443999999999,0.76272076,0.83528185,0.0,0.234738
7420426K07Rik,4.493384,508.94897,472.17712,217.98961,51.93795,0.87748915,0.017864255,0.9336485,0.0,0.0,0.0,0.0,0.27118888,0.0,0.0668784
9130409I23Rik,0.0041109878,33.146496,48.47962,15.719916,2.721363,0.0,0.0,0.14694966,0.0,0.0,0.2561229,0.11226105,0.053807247,0.03600521,0.0
9330182L06Rik,3.3126972,6.522827599999999,7.900378,0.7451399000000001,1.9009354,0.13788801,0.07337989,0.6138695,0.01326935,2.558959,0.5911063,0.4084725999999999,0.45199454,0.014816476,0.1903910999999999
A430033K04Rik,2.8618474,807.0435,726.8102,19.430204,6.526849,1.469396,0.04363532,7.017691,11.925827,1.8553683,7.396047,5.896019,0.923582,4.2225566,1.56274
A630010A05Rik,0.082558244,0.12973043,0.3001331,0.069404334,2.7504249,0.0,0.0023448362,0.0028674593,0.0,0.0,0.059357546,0.3530137,0.106374554,0.0,0.0
AA467197,4.423305,0.0,0.0,0.0,1.3920805,2.9612162,60.84506999999999,482.01212,404.6252,578.1379400000001,3.788073,1.7488867,11.011685,14.162715,2.68053
AI427809,32.694946,0.2905579,0.016382005,9.679359,37.50707,1.950759,0.14948335,9.560919,4.633228,1.0828856000000002,5.8182955000000005,4.3406043,1.7773068,0.5395179,0.594562
AI427809,32.694946,0.2905579,0.016382005,9.679359,37.50707,1.950759,0.14948335,9.560919,4.633228,1.0828856000000002,5.8182955000000005,4.3406043,1.7773068,0.5395179,0.594562
AI987944,11.785191,163.20747,194.72343,89.58378,43.69314,7.691986999999999,2.3008523,6.952911,11.631944,13.787399,8.590855,6.538603299999999,4.0301356,8.147148,0.94158
AW146154,5.0569186,124.1888,134.9754,47.74794,22.604864000000003,7.644674,3.0844781,7.1815367,19.66977,7.0038686000000006,2.9663365,3.45939,2.580396,2.2013164,0.774662
AW554918,3.755519,84.37779,91.28223,70.747475,54.26646,13.645423,20.912918,8.120585,12.562663,8.279162,4.309638,3.007346,2.4008634,0.8994718,1.6749900000000002
Aadac,0.05401721,3.1149144,5.843407,0.8057191999999999,0.070507325,0.0,0.0,0.011469837,0.0,0.0,1.0349491,0.12270844,0.15413879,0.0,0.15946
Aass,0.74697506,145.65376,126.15827,17.358696,6.532817,8.710489,0.020267537,0.4679248,0.60267603,0.0046180557,133.0115,47.645405,1.9727526,0.5799966999999999,1.07051
Abcb4,0.24791649,2.7258177000000003,5.65827,0.65846086,0.45357457,0.0,0.77286905,0.31917053,0.2720455999999999,0.12062712,0.08574588,0.018200245,0.5777391,0.33790508,0.194931
Abhd13,10.580972,289.18842,204.92052,62.365612,46.647438,84.37943,44.93888,23.280348,25.919456,42.260014,11.21801,10.750806,13.85436,4.414123,5.54472
Abi3bp,0.5033304,18.16059,17.068861,19.07675,9.1654215,7.333360000000001,0.56218183,1.6823593,1.0132562,2.064987,0.070282444,0.015421212,0.26647708,0.2131939,0.0290897999999999
Ablim3,0.65234596,7.829080999999999,16.386448,10.189762,3.7867477,0.009947071,0.001778429,0.0068221259999999,0.0028103015,0.006558523,0.37336734,0.022350395,0.3485697,0.0,0.373374
Acaa1a,28.778955,0.060869925,0.7425626000000001,1.877802,4.52137,1.3333133,8.607345,33.277084,27.586065,33.963516,87.87999,120.22117,48.883324,87.64076999999999,35.6323
Acaa2,18.596386,0.0,0.34415072,0.018466258,0.3893885,0.4774594,47.907593,542.1807,342.3416,373.33087,86.39003000000001,303.21976,45.49916,107.81106,10.8341
Acbd7,3.032538,16.594416,10.785086,24.003126,2.1755056,0.02177179,1.9330858,2.2569435,0.9986689,2.5161784,16.560345,8.020394999999999,4.5901146,7.804867,1.69659
Accsl,0.7588967,4362.052,4798.7344,1376.7062,543.24036,59.910088,298.37927,8.434316,0.0043585645,0.016060239,19.187899,8.773201,1.5106653,37.649826,2.57793
Aco1,14.745515,62.099792,88.47081999999999,61.66208,24.536747,39.041294,81.363846,307.64423,162.3962,176.41307,57.07334,42.671844,10.117252,21.104488,18.1669
Acox3,3.3945606,186.2537,117.97378,35.898518,4.2270080000000005,0.0448210459999999,0.043681547,6.7312460000000005,4.1597567,13.480899,17.117693,10.248757,5.9097624,2.4437299,2.86946
Acss1,1.1232308000000002,0.0,0.0,0.0,0.18439284,0.06887766,16.616951,60.69996999999999,22.94086,24.958815,37.54922,35.668827,0.93177223,5.018891,2.82681
Adam19,3.6817372,3.9154077,4.172226,4.2925797,8.7899885,0.2563265,1.8488547,80.14101,34.120655,101.658936,24.94334,16.965294,4.841177,3.6598003,10.3743
Adamts3,0.953361,33.80962,53.43866,25.180704,17.08689,1.5454849,0.0345729139999999,0.06472881,0.0,0.0,0.29289874,0.009096059,0.1204240999999999,0.0,0.1080372
Adamts9,3.0346801,1.770193,1.2943428999999995,0.17965311,0.018885706,0.016874488,0.002002611,1.4769397,0.0019016895,1.0093517,0.9965243,1.7604021,5.0852532,1.0809879999999998,0.130015
