,zygote,early2C,mid2C,late2C,2C,4C,8C,16C,E3.5,E4.5,E5.5,E6.5,E6.75
Zscan4c,-0.5101666,-0.44480288,2.7146907,1.7380279,0.44198698,-0.3740428,-0.5049179,-0.5099431,-0.5101666,-0.5101666,-0.5101666,-0.5101666,-0.5101666
Zscan4d,-0.5066683,-0.3503726,2.6639063,1.8618937,0.2953302,-0.4231016,-0.5025942,-0.5066798,-0.50698555,-0.5041795,-0.50698555,-0.5065775,-0.50698555
Zfp352,-0.5223391,-0.32964307,2.6627605,1.8909596,-0.08416985,0.06819523,-0.5201103,-0.52723324,-0.527684,-0.527684,-0.527684,-0.527684,-0.527684
Sp110,-0.26790208,-0.657194,1.0279717,1.2879981,0.5491272,1.3534343,1.2001432,0.7898523,-1.0454131,-1.058892,-1.0548302,-1.0617242,-1.0625719
Hspa1a,-0.544592,-0.52099574,2.0685818,2.5010216,-0.39057827,0.25995898,-0.4410424,-0.40726283,-0.5659062,-0.32379866,-0.52714986,-0.56543475,-0.5428008
Cpd,0.13264622,-0.008559843,2.249676,2.1662982,-0.31275776,0.09483378,-0.7342561,-0.88532627,-0.8889331,-0.18510951,-0.78175396,-0.47129318,-0.37546438
Tmem132c,-0.2821621,-0.4993171,2.9050195,1.4899113,0.26644793,-0.30371094,-0.38420865,-0.536182,-0.5436129,-0.5436129,-0.5436129,-0.4813463,-0.5436129
Gm2016,-0.50399643,-0.4352615,2.7797668,1.7561845,-0.13851126,0.015512574,-0.48998982,-0.502812,-0.4567301,-0.5060407,-0.5060407,-0.5060407,-0.5060407
Gm13078,-0.51397175,-0.408615,2.582674,1.8703172,-0.23828544,0.51755816,-0.5108364,-0.5175467,-0.5562588,-0.5562588,-0.5562588,-0.5562588,-0.5562588
Zfp809,-0.7935561,-0.6649352,2.5526845,1.7307085,-0.8713478,0.55850136,0.047285527,-0.09836432,-0.5257582,-0.252556,-0.4036395,-0.7183061,-0.56071764
Zfp560,-0.30888668,-0.15058847,2.2222605,0.85804045,1.8448836,-0.954873,-1.1218134,-1.1072085,-0.37864074,-0.10602995,-0.4286435,-0.20914873,-0.15935335
Dcc,-0.38948515,-0.49979076,2.2314394,2.2924805,0.20353155,0.168848,-0.5669695,-0.5736255,-0.5737996,-0.5737996,-0.5737996,-0.57122964,-0.5737996
Pnp,-0.021127498,-0.30112463,2.1049936,2.1386356,0.6397059,-0.32036963,0.02808895,-0.22280128,-0.78614014,-0.6830619,-0.98991764,-0.88885075,-0.69802964
Sox2,-0.6766177,-0.6636816,-0.7958439,-0.5752402,-0.7890905,-0.8247727,-0.71161556,-0.66833,2.4607766,0.7763699,0.47698438,1.0780597,0.913002
Nanog,-0.5972205,-0.61901844,-0.5959509,-0.38095498,-0.61396396,-0.56015855,-0.45583558,-0.14044856,3.1168404,-0.067689575,-0.3947071,0.42038748,0.88872
Pou5f1,-0.81468457,-0.7593957,-0.8571825,-1.3570538,-0.4360813,-1.4098872,0.34620175,0.30257753,1.8104117,0.7286635,1.5491148,0.1461613,0.7511531
Tdgf1,-0.92772704,-0.92772704,-0.9249833,-0.8673353,-0.92772704,-0.5053003,0.102450915,-0.3078366,2.2654798,0.13297525,1.3287696,0.380341,1.1786205
Fgf4,-1.0907096,-1.0907096,-0.7610359,0.28761747,-1.0907096,2.157696,-0.04024179,-0.0021080696,1.2388,0.23699236,1.3438724,-0.6567273,-0.53273666
Zfp42,-0.99674034,-0.96808314,-0.14506337,0.41070613,-0.9581697,-0.3835016,0.58071226,1.4079157,2.1224308,1.1100368,-0.38707438,-0.8801888,-0.9129804
Utf1,-0.8361581,-0.8351506,-0.83536553,-0.8079157,-0.8299575,-0.76367307,-0.69434977,-0.5304321,1.4428579,1.0047629,1.8378453,0.7796597,1.0678769
Prdm14,-0.7537817,-0.7002494,0.14779757,2.3946989,-0.6938526,0.67750204,0.5214932,-0.24893141,1.6386943,-0.7400999,-0.7528615,-0.73662776,-0.7537817
Klf15,-0.5334447,-0.5334447,-0.5334447,0.11439249,-0.5334447,-0.5334447,-0.5334447,-0.5334447,-0.45577848,3.2172046,0.60619533,0.2631287,-0.011029293
Fgf4,-1.0907096,-1.0907096,-0.7610359,0.28761747,-1.0907096,2.157696,-0.04024179,-0.0021080696,1.2388,0.23699236,1.3438724,-0.6567273,-0.53273666
Piwil2,-0.46739963,-0.016479218,-0.32823497,1.1585623,-0.76004386,2.3742735,1.4468988,0.29266423,-0.7732067,-0.40287536,-0.65358883,-0.9211989,-0.94937223
Tet1,-1.3954172,-1.611553,-0.6484078,0.18940686,-1.4737222,1.7781246,1.2892164,0.62328744,0.53969544,0.08329202,0.25322098,-0.116401754,0.48925817
Dppa5a,-1.2522292,-1.3064997,-0.60716045,-0.19184522,-1.2862139,0.25351334,0.635794,0.5355854,1.5073187,1.6548293,1.1439203,-0.5457342,-0.5412781
Bcl3,-0.7398099,-0.7325376,-0.5964672,-0.61318916,-0.7178179,0.4810404,1.8359932,0.37445632,2.3646655,0.28327206,-0.6268284,-0.65117824,-0.6615985
