,Zygote,2C,4C,8C,E6.5,E7.5,mES2iL,8-rep1,8-rep2
chr1-1-100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-100000001-100100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-10000001-10100000,0.011,0.0,0.0,0.0307,0.0084,0.0095,0.0407,0.0033,0.0152
chr1-1000001-1100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-100001-200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-100100001-100200000,0.0,0.0,0.0,0.0,0.0,0.0,0.2417,0.0,0.0
chr1-100200001-100300000,0.0,0.0,0.0,0.0,0.0,0.0,0.5655,0.0,0.0
chr1-100300001-100400000,0.3278,0.0,0.0,0.0,0.0,0.0,0.5925,0.0,0.05
chr1-100400001-100500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-100500001-100600000,0.0532,0.0,0.0,0.0,0.0,0.0,0.7478,0.0,0.0
chr1-100600001-100700000,0.0,0.0,0.0,0.0,0.0,0.0,0.7586,0.2,0.2211
chr1-100700001-100800000,0.784,0.8689,0.0,0.9424,0.0,0.9267,0.6653,0.2249,0.4343
chr1-100800001-100900000,0.125,0.0,0.0,0.0,0.0,0.0,0.3494,0.0,0.0
chr1-100900001-101000000,0.317,1.0,0.0,0.0,0.0,0.0,0.6507,0.0,0.125
chr1-101000001-101100000,0.3385,0.0,0.0,0.0,0.8947,0.7368,0.0808,0.0,0.25
chr1-10100001-10200000,0.0,0.0,0.0,0.0,0.0,0.0,0.4494,0.0,0.0
chr1-101100001-101200000,0.0,0.0,0.0,0.0,0.0,0.0,0.3425,0.1,0.0
chr1-101200001-101300000,0.6349,0.9146,0.0,0.5,0.375,0.5,0.4579,0.0,0.5
chr1-101300001-101400000,0.4375,0.0,0.0,0.2727,0.6507,0.7153,0.6137,0.0,0.1468
chr1-101400001-101500000,0.3818,0.4325,0.0,0.0,0.7802,0.8233,0.5936,0.0,0.25
chr1-101500001-101600000,0.0,0.0,0.0,0.0,0.0,0.0,0.2917,0.0,0.0
chr1-101600001-101700000,0.9896,0.75,0.0,0.0,0.6718,0.8474,0.3518,0.0,0.0
chr1-101700001-101800000,0.6842,0.325,0.0,0.0,0.8,0.3718,0.7227,0.0,0.0
chr1-101800001-101900000,0.5616,0.2,0.0,0.0,0.3667,0.3939,0.529,0.0,0.0
chr1-101900001-102000000,0.35,0.0,0.0,0.0,0.1364,0.3917,0.3836,0.0,0.1722
chr1-102000001-102100000,0.3527,0.6829,0.0,0.0,0.3533,0.5593,0.6689,0.0,0.2062
chr1-10200001-10300000,0.0002,0.0052,0.0429,0.011,0.0243,0.0234,0.0756,0.1228,0.0219
chr1-102100001-102200000,0.5,0.625,0.0,0.4624,0.7728,0.7348,0.3197,0.0,0.5
chr1-102200001-102300000,1.0,0.0,0.0,0.0,0.0,0.0,0.5426,0.0,0.0667
chr1-102300001-102400000,0.5625,0.3,0.0,0.0,0.85,0.8235,0.5794,0.35,0.4388
chr1-102400001-102500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-102500001-102600000,0.0,0.0,0.0,0.0,0.0,0.0,0.1071,0.0,0.114
chr1-102600001-102700000,0.373,0.0,0.0,0.0,0.0,0.0,0.4538,0.1667,0.0
chr1-102700001-102800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1-102800001-102900000,0.3,0.0,0.0,0.0,0.0,0.0,0.5556,0.0,0.0833
chr1-102900001-103000000,0.3611,0.0,0.0,1.0,0.9429,0.0,0.4207,0.2571,0.197
chr1-103000001-103100000,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.1167,0.2054
chr1-10300001-10400000,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.0,0.1833
chr1-103100001-103200000,0.0,0.0,0.0,0.0,0.0,0.0,0.2262,0.0833,0.3125
